Task: 1, Test Name: IsAppliFashionLogoPresent, Browser chrome, Status: True
Task: 1, Test Name: IsSearchInputPresent, Browser chrome, Status: True
Task: 1, Test Name: IsSearchButtonPresent, Browser chrome, Status: True
Task: 1, Test Name: IsAccountWishlistIconPresentByIconName, Browser chrome, Status: True
Task: 1, Test Name: IsAccountWishlistIconPresentByIconName, Browser chrome, Status: True
Task: 1, Test Name: IsAccountWishlistIconPresentByIconName, Browser chrome, Status: True
Task: 1, Test Name: IsCartIconPresent, Browser chrome, Status: True
Task: 1, Test Name: IsAppliFashionLogoPresent, Browser chrometablet, Status: True
Task: 1, Test Name: IsSearchInputPresent, Browser chrometablet, Status: True
Task: 1, Test Name: IsSearchButtonPresent, Browser chrometablet, Status: True
Task: 1, Test Name: IsAccountWishlistIconPresentByIconName, Browser chrometablet, Status: True
Task: 1, Test Name: IsAccountWishlistIconPresentByIconName, Browser chrometablet, Status: True
Task: 1, Test Name: IsAccountWishlistIconPresentByIconName, Browser chrometablet, Status: True
Task: 1, Test Name: IsCartIconPresent, Browser chrometablet, Status: True
Task: 1, Test Name: IsAppliFashionLogoPresent, Browser mobile, Status: True
Task: 1, Test Name: IsSearchInputPresent, Browser mobile, Status: True
Task: 1, Test Name: IsSearchButtonPresent, Browser mobile, Status: True
Task: 1, Test Name: IsAccountWishlistIconPresentByIconName, Browser mobile, Status: True
Task: 1, Test Name: IsAccountWishlistIconPresentByIconName, Browser mobile, Status: True
Task: 1, Test Name: IsAccountWishlistIconPresentByIconName, Browser mobile, Status: True
Task: 1, Test Name: IsCartIconPresent, Browser mobile, Status: True
Task: 2, Test Name: IsSidefilterQuantityPresentByHeaderAndOption, Browser chrome, Status: True
Task: 2, Test Name: IsFilterResetButtonPresentByButtonName, Browser chrome, Status: True
Task: 2, Test Name: IsFilterResetButtonPresentByButtonName, Browser chrome, Status: True
Task: 2, Test Name: IsFilterResetButtonDisabledByButtonId, Browser chrome, Status: True
Task: 2, Test Name: IsFilterResetButtonDisabledByButtonId, Browser chrome, Status: True
Task: 2, Test Name: IsFilterResetButtonDisabledByButtonId, Browser chrome, Status: False
Task: 1, Test Name: IsTopBannerPresent, Browser chrome, Status: True
Task: 1, Test Name: IsSortOptionPresent, Browser chrome, Status: True
Task: 1, Test Name: IsGridViewIconPresent, Browser chrome, Status: True
Task: 1, Test Name: IsListViewIconPresent, Browser chrome, Status: True
Task: 1, Test Name: IsTopBannerPresent, Browser chrometablet, Status: True
Task: 1, Test Name: IsSortOptionPresent, Browser chrometablet, Status: True
Task: 1, Test Name: IsGridViewIconPresent, Browser chrometablet, Status: True
Task: 1, Test Name: IsListViewIconPresent, Browser chrometablet, Status: True
Task: 1, Test Name: IsTopBannerPresent, Browser mobile, Status: True
